sys_id,n_ie,n_pages,n_lines,n_chars
990000849800205171,1,7,35,428
990000849810205171,1,9,188,4973
990000849980205171,2,44,1363,58323
990000849990205171,1,44,2108,139207
990000850120205171,1,151,22288,610627
990000850140205171,1,104,5422,377889
990000850220205171,1,75,2789,67410
990000850230205171,1,110,16801,411824
990000850290205171,2,61,1690,62200
990000850300205171,1,66,1683,40387
990000850310205171,1,7,181,4157
990000850330205171,1,8,113,1316
990000850340205171,1,17,407,10248
990000850350205171,1,14,508,12158
990000850360205171,1,7,131,2461
990000850370205171,1,7,61,1204
990000850380205171,1,7,103,1637
990000850390205171,1,8,106,1598
990000850400205171,1,5,103,1083
990000850410205171,1,5,133,2321
990000850420205171,1,15,578,22342
990000850430205171,1,6,117,3117
990000850440205171,1,9,301,7697
990000850450205171,1,7,175,2846
990000850460205171,1,7,133,4437
990000850470205171,1,7,221,5598
990000850480205171,1,7,292,8153
990000850490205171,1,6,136,2238
990000850500205171,1,7,147,5502
990000850510205171,1,6,72,1206
990000850520205171,1,6,130,1706
990000850530205171,1,6,124,2503
990000850540205171,1,9,191,7048
990000850550205171,1,7,101,1121
990000850560205171,1,13,259,4965
990000850570205171,1,10,200,4501
990000850580205171,1,26,700,21461
990000850590205171,2,32,919,28029
990000850600205171,2,20,383,8598
990000850610205171,2,20,263,4955
990000850620205171,2,19,373,10772
990000850630205171,2,15,179,2433
990000850640205171,2,15,146,2079
990000850650205171,2,47,1391,42287
990000850660205171,1,173,14749,1152620
990000850670205171,2,14,144,2800
990000850680205171,1,95,5824,141553
990000850690205171,1,7,167,8500
990000850700205171,1,77,4464,345184
990000850710205171,1,85,4053,126589
990000850720205171,1,12,412,20978
990000850730205171,1,232,12492,769363
990000850740205171,1,81,3246,107715
990000850750205171,1,16,456,20639
990000850760205171,1,6,84,2074
990000850770205171,2,29,628,18132
990000850780205171,1,16,611,20090
990000850790205171,1,15,639,34720
990000850800205171,1,20,1099,40026
990000850810205171,1,67,2826,143978
990000850820205171,1,11,306,12753
990000850830205171,1,22,826,45413
990000850840205171,1,15,416,17356
990000850850205171,1,9,208,8970
990000850900205171,1,182,10052,269179
990000851150205171,1,253,15423,1132615
990000851160205171,1,7,81,1539
990000851200205171,1,37,1073,33639
990000851220205171,1,10,163,4664
990000851230205171,1,23,699,21219
990000851240205171,1,30,1009,34263
990000851250205171,1,17,582,17815
990000851260205171,1,87,3872,130210
990000851270205171,1,10,231,4601
990000851280205171,1,10,193,5827
990000851290205171,1,17,474,16049
990000851300205171,1,15,416,15056
990000851310205171,1,13,420,14571
990000851320205171,1,7,150,3703
990000851330205171,1,10,243,7087
990000851340205171,1,6,118,4844
990000851350205171,1,15,306,4548
990000851360205171,1,9,199,8376
990000851370205171,1,11,199,6123
990000851380205171,1,13,364,12016
990000851390205171,1,7,206,2862
