rank,tier,tier_reason,canonical_id,shelf_mark,institution_group,collection,ktiv_known,ktiv_ready,ktiv_manifest_url,ktiv_search_url
11,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_261_156,"Cambridge University Library, Cambridge, England Ms. T-S NS 261.156",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051627980205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20261.156&searchType=METADATA&ftsMethod=0&searchName=regular"
12,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_C6_158,"Cambridge University Library, Cambridge, England Ms. T-S C 6.158",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051155290205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20C%206.158&searchType=METADATA&ftsMethod=0&searchName=regular"
13,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_F2_16,"Cambridge University Library, Cambridge, England Ms. T-S F 2(2).16",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051167510205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20F%202%282%29.16&searchType=METADATA&ftsMethod=0&searchName=regular"
14,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_F2_181,"Cambridge University Library, Cambridge, England Ms. T-S F 2(1).181",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051167010205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20F%202%281%29.181&searchType=METADATA&ftsMethod=0&searchName=regular"
15,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_193_153,"Cambridge University Library, Cambridge, England Ms. T-S AS 193.153",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990052320390205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20AS%20193.153&searchType=METADATA&ftsMethod=0&searchName=regular"
16,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_99_102,"Cambridge University Library, Cambridge, England Ms. T-S AS 99.102",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990052001870205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20AS%2099.102&searchType=METADATA&ftsMethod=0&searchName=regular"
17,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_163_101,T-S NS 163.101,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20163.101&searchType=METADATA&ftsMethod=0&searchName=regular"
18,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_29_49,T-S Ar.29.49,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.29.49&searchType=METADATA&ftsMethod=0&searchName=regular"
19,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_38_111,T-S Ar.38.111,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.38.111&searchType=METADATA&ftsMethod=0&searchName=regular"
20,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_J1_41,T-S J1.41,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20J1.41&searchType=METADATA&ftsMethod=0&searchName=regular"
21,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_321_7m,T-S NS 321.7m,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20321.7m&searchType=METADATA&ftsMethod=0&searchName=regular"
22,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_167_35,T-S AS 167.35,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20167.35&searchType=METADATA&ftsMethod=0&searchName=regular"
23,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_190_13,T-S NS 190.13,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20190.13&searchType=METADATA&ftsMethod=0&searchName=regular"
24,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_39_435,T-S Ar.39.435,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.39.435&searchType=METADATA&ftsMethod=0&searchName=regular"
25,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_18J5_3,T-S 18J5.3,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%2018J5.3&searchType=METADATA&ftsMethod=0&searchName=regular"
26,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_153_176,T-S AS 153.176,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20153.176&searchType=METADATA&ftsMethod=0&searchName=regular"
27,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_153_177,T-S AS 153.177,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20153.177&searchType=METADATA&ftsMethod=0&searchName=regular"
28,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_51_104,T-S Ar.51.104,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.51.104&searchType=METADATA&ftsMethod=0&searchName=regular"
29,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_20_94,T-S 20.94,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%2020.94&searchType=METADATA&ftsMethod=0&searchName=regular"
30,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_306_84,T-S NS 306.84,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20306.84&searchType=METADATA&ftsMethod=0&searchName=regular"
31,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_40_38,T-S Ar.40.38,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.40.38&searchType=METADATA&ftsMethod=0&searchName=regular"
32,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_K25_140_2,T-S K25.140.2,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20K25.140.2&searchType=METADATA&ftsMethod=0&searchName=regular"
33,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_8J4_12,T-S 8J4.12,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%208J4.12&searchType=METADATA&ftsMethod=0&searchName=regular"
34,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_24_39,T-S 24.39,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%2024.39&searchType=METADATA&ftsMethod=0&searchName=regular"
35,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_39_153,T-S Ar.39.153,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.39.153&searchType=METADATA&ftsMethod=0&searchName=regular"
36,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_297_51,T-S NS 297.51,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20297.51&searchType=METADATA&ftsMethod=0&searchName=regular"
37,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_43_272,T-S Ar.43.272,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.43.272&searchType=METADATA&ftsMethod=0&searchName=regular"
38,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_47_245,T-S Ar.47.245,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.47.245&searchType=METADATA&ftsMethod=0&searchName=regular"
